code,name
10,State forces only
11,State forces-State forces
12,State forces-Rebel group
13,State forces-Political militia
14,State forces-Identity militia
15,State forces-Rioters
16,State forces-Protesters
17,State forces-Civilians
18,State forces-External/Other forces
20,Rebel group only
22,Rebel group-Rebel group
23,Rebel group-Political militia
24,Rebel group-Identity militia
25,Rebel group-Rioters
26,Rebel group-Protesters
27,Rebel group-Civilians
28,Rebel group-External/Other forces
30,Political militia only
33,Political militia-Political militia
34,Political militia-Identity militia
35,Political militia-Rioters
36,Political militia-Protesters
37,Political militia-Civilians
38,Political militia-External/Other forces
40,Identity militia only
44,Identity militia-Identity militia
45,Identity militia-Rioters
46,Identity militia-Protesters
47,Identity militia-Civilians
48,Identity militia-External/Other forces
50,Rioters only
55,Rioters-Rioters
56,Rioters-Protesters
57,Rioters-Civilians
58,Rioters-External/Other forces
60,Protesters only
66,Protesters-Protesters
67,Protesters-Civilians
68,Protesters-External/Other forces
70,Civilians only
77,Civilians-Civilians
78,External/Other forces-Civilians
80,External/Other forces only
88,External/Other forces-External/Other forces